target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4367.5	662	7.23444
NM_000015.3	1285	1042.5	3	0.137349
NM_000016.6	2261	2018.5	1269.19	30.0108
NM_000017.4	1859	1616.5	181.053	5.34576
NM_000018.4	2184	1941.5	9091.11	223.49
NM_000019.4	1537	1294.5	1557.45	57.4238
NM_000020.3	4177	3934.5	0	0
NM_000021.4	6018	5775.5	1136.57	9.39264
NM_000022.4	1496	1253.5	177.451	6.75666
NM_000023.4	1429	1186.5	0	0
NM_000024.6	2013	1770.5	116	3.1271
NM_000025.3	2585	2342.5	0	0
NM_000026.4	4359	4116.5	284.957	3.30393
NM_000027.4	2037	1794.5	663.602	17.65
NM_000028.3	7314	7071.5	0	0
NM_000030.3	2900	2657.5	0	0
NM_000031.6	3129	2886.5	1291.02	21.3473
NM_000032.5	1940	1697.5	0	0
NM_000033.4	3669	3426.5	794.448	11.0661
NM_000035.4	2420	2177.5	1	0.021919
NM_000036.3	2335	2092.5	0	0
NM_000037.4	8292	8049.5	0	0
NM_000038.6	10704	10461.5	1021.68	4.66124
NM_000039.3	899	656.704	0	0
NM_000040.3	535	300.686	0	0
NM_000041.4	1166	923.503	77	3.97954
NM_000042.3	1174	931.503	0	0
NM_000043.6	3696	3453.5	1589.05	21.9613
NM_000044.6	10667	10424.5	669.559	3.06559
NM_000045.4	1447	1204.5	0	0
NM_000046.5	4852	4609.5	1917.35	19.8531
NM_000047.3	2219	1976.5	3.99223	0.0964047
NM_000048.4	2140	1897.5	693.932	17.4548
NM_000049.4	5422	5179.5	15.905	0.146563
NM_000050.4	1863	1620.5	28.8652	0.850168
NM_000051.4	12915	12672.5	1307.81	4.92563
NM_000052.7	8492	8249.5	746.302	4.31784
NM_000053.4	6598	6355.5	0	0
NM_000054.7	1825	1582.5	0	0
NM_000055.4	2405	2162.5	149.909	3.30865
NM_000056.5	1506	1263.5	192.542	7.27327
NM_000057.4	5240	4997.5	591.035	5.64469
NM_000059.4	11954	11711.5	819.754	3.3408
NM_000061.3	2575	2332.5	3	0.0613874
NM_000062.3	1830	1587.5	1176.63	35.3756
NM_000063.6	2610	2367.5	6.41432	0.129312
NM_000064.4	5231	4988.5	543	5.19529
NM_000065.5	3691	3448.5	0	0
NM_000066.4	2040	1797.5	0	0
NM_000067.3	1562	1319.5	0	0
NM_000068.4	8660	8417.5	0	0
NM_000069.3	6028	5785.5	0	0
NM_000070.3	3315	3072.5	85.8155	1.33307
NM_000071.3	2495	2252.5	696.938	14.7676
NM_000072.3	2108	1865.5	0.00864987	0.000221306
NM_000073.3	2690	2447.5	0	0
NM_000074.3	1852	1609.5	0	0
NM_000075.4	1865	1622.5	2688.75	79.0943
NM_000076.2	1943	1700.5	12.3506	0.34665
NM_000077.5	978	735.503	176.056	11.4248
NM_000078.3	1691	1448.5	10	0.329504
NM_000079.4	1984	1741.5	2	0.0548133
NM_000080.4	2482	2239.5	9.97453	0.212579
NM_000081.4	13466	13223.5	719.412	2.59664
NM_000082.4	9414	9171.5	281.908	1.46706
NM_000083.3	3187	2944.5	0	0
NM_000084.5	9472	9229.5	129.269	0.668493
NM_000085.5	2562	2319.5	0	0
NM_000086.2	1879	1636.5	209.467	6.10911
NM_000087.5	2784	2541.5	0	0
NM_000088.4	5914	5671.5	1.54085e+06	12967
NM_000089.4	5072	4829.5	795941	7866.08
NM_000090.4	5490	5247.5	293704	2671.39
NM_000091.5	8038	7795.5	0	0
NM_000092.5	9984	9741.5	6.65192e-05	3.25913e-07
NM_000093.5	8442	8199.5	75984.8	442.302
