target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4387.04	561.45	6.56538
NM_000015.3	1285	1062.04	0	0
NM_000016.6	2261	2038.04	918.271	23.1142
NM_000017.4	1859	1636.04	159	4.98567
NM_000018.4	2184	1961.04	7885.84	206.292
NM_000019.4	1537	1314.04	1459.38	56.9746
NM_000020.3	4177	3954.04	0	0
NM_000021.4	6018	5795.04	708.835	6.27493
NM_000022.4	1496	1273.04	221.991	8.94568
NM_000023.4	1429	1206.04	0	0
NM_000024.6	2013	1790.04	24	0.687811
NM_000025.3	2585	2362.04	0	0
NM_000026.4	4359	4136.04	178.502	2.214
NM_000027.4	2037	1814.04	600.696	16.9875
NM_000028.3	7314	7091.04	0	0
NM_000030.3	2900	2677.04	0	0
NM_000031.6	3129	2906.04	1400.2	24.7177
NM_000032.5	1940	1717.04	0	0
NM_000033.4	3669	3446.04	842.32	12.5394
NM_000035.4	2420	2197.04	6	0.140099
NM_000036.3	2335	2112.04	0	0
NM_000037.4	8292	8069.04	0	0
NM_000038.6	10704	10481	756.812	3.70428
NM_000039.3	899	676.039	0	0
NM_000040.3	535	317.571	0	0
NM_000041.4	1166	943.039	11.5085	0.626053
NM_000042.3	1174	951.039	0	0
NM_000043.6	3696	3473.04	1652.44	24.4083
NM_000044.6	10667	10444	699.622	3.43649
NM_000045.4	1447	1224.04	0	0
NM_000046.5	4852	4629.04	1448.12	16.0485
NM_000047.3	2219	1996.04	2.71388	0.0697495
NM_000048.4	2140	1917.04	645.625	17.2771
NM_000049.4	5422	5199.04	13.4412	0.132628
NM_000050.4	1863	1640.04	34.6362	1.08342
NM_000051.4	12915	12692	645.794	2.61026
NM_000052.7	8492	8269.04	747.136	4.63517
NM_000053.4	6598	6375.04	0	0
NM_000054.7	1825	1602.04	0	0
NM_000055.4	2405	2182.04	35.4281	0.832924
NM_000056.5	1506	1283.04	149.557	5.9798
NM_000057.4	5240	5017.04	458.606	4.68935
NM_000059.4	11954	11731	650.153	2.84315
NM_000061.3	2575	2352.04	2	0.043622
NM_000062.3	1830	1607.04	1465.12	46.7701
NM_000063.6	2610	2387.04	27.5314	0.591682
NM_000064.4	5231	5008.04	1447	14.8225
NM_000065.5	3691	3468.04	0	0
NM_000066.4	2040	1817.04	0	0
NM_000067.3	1562	1339.04	13	0.498047
NM_000068.4	8660	8437.04	0	0
NM_000069.3	6028	5805.04	0	0
NM_000070.3	3315	3092.04	118.835	1.9716
NM_000071.3	2495	2272.04	845.68	19.0946
NM_000072.3	2108	1885.04	0	0
NM_000073.3	2690	2467.04	0	0
NM_000074.3	1852	1629.04	0	0
NM_000075.4	1865	1642.04	2502.4	78.1797
NM_000076.2	1943	1720.04	34.673	1.03413
NM_000077.5	978	755.039	44.9024	3.05085
NM_000078.3	1691	1468.04	0	0
NM_000079.4	1984	1761.04	1	0.0291307
NM_000080.4	2482	2259.04	14.4853	0.328947
NM_000081.4	13466	13243	558.562	2.16373
NM_000082.4	9414	9191.04	168.051	0.937988
NM_000083.3	3187	2964.04	0	0
NM_000084.5	9472	9249.04	44.8669	0.248857
NM_000085.5	2562	2339.04	2.71944	0.0596433
NM_000086.2	1879	1656.04	203.348	6.29928
NM_000087.5	2784	2561.04	0	0
NM_000088.4	5914	5691.04	1.45314e+06	13098.9
NM_000089.4	5072	4849.04	847966	8971.05
NM_000090.4	5490	5267.04	291256	2836.8
NM_000091.5	8038	7815.04	2.03718e-07	1.33727e-09
NM_000092.5	9984	9761.04	2.71568e-05	1.42726e-07
NM_000093.5	8442	8219.04	91111.6	568.687
NM_000094.4	9231	9008.04	3986.6	22.7035
NM_000095.3	2452	2229.04	7286	167.684
NM_000096.4	4452	4229.04	0	0
NM_000097.7	2709	2486.04	2196.76	45.3309
NM_000098.3	2699	2476.04	446.08	9.24222
NM_000099.4	793	570.101	6387.49	574.776
NM_000100.4	588	368	3081	429.501
NM_000101.4	692	469.96	2241.91	244.725
NM_000102.4	1750	1527.04	1	0.0335947
NM_000103.4	4403	4180.04	0	0
NM_000104.4	5218	4995.04	11015	113.127
NM_000106.6	1588	1365.04	0	0
NM_000107.3	1815	1592.04	360.348	11.6115
NM_000108.5	3537	3314.04	2777.17	42.9898
NM_000109.4	13854	13631	0	0
NM_000110.4	4423	4200.04	1099.62	13.431
NM_000111.3	2882	2659.04	0	0
NM_000112.4	8054	7831.04	1589.88	10.4151
NM_000113.3	2080	1857.04	2978	82.2667
NM_000115.5	4274	4051.04	0	0
NM_000116.5	1906	1683.04	9.13251	0.278366
NM_000117.3	1281	1058.04	1941	94.1118
NM_000118.4	3082	2859.04	518.431	9.30231
NM_000119.3	2434	2211.04	0	0
NM_000120.4	1780	1557.04	0	0
NM_000121.4	2411	2188.04	178.812	4.19238
NM_000122.2	2718	2495.04	1745	35.8788
NM_000123.4	3888	3665.04	2696.75	37.7471
NM_000124.4	9001	8778.04	746.644	4.36352
NM_000125.4	6327	6104.04	0	0
NM_000126.4	2289	2066.04	978.24	24.29
NM_000127.3	8243	8020.04	10539.1	67.4135
NM_000128.4	3053	2830.04	0	0
NM_000129.4	3828	3605.04	0	0
NM_000130.5	9132	8909.04	3.00166	0.0172843
NM_000131.4	3144	2921.04	0	0
NM_000132.4	9032	8809.04	48.4977	0.282431
NM_000133.4	2800	2577.04	0	0
NM_000134.4	2226	2003.04	0	0
NM_000135.4	5452	5229.04	1011.38	9.92232
NM_000136.3	4592	4369.04	305.461	3.58666
NM_000137.4	1456	1233.04	438.948	18.2623
NM_000138.5	11609	11386	63201.2	284.756
NM_000139.5	3648	3425.04	0	0
NM_000140.5	7689	7466.04	983.626	6.75865
NM_000141.5	4624	4401.04	0	0
NM_000142.5	4301	4078.04	206.048	2.59202
NM_000143.4	1791	1568.04	2450	80.1548
NM_000144.5	6978	6755.04	243.182	1.84682
NM_000145.4	2762	2539.04	0	0
NM_000146.4	871	648.039	26851	2125.59
NM_000147.5	2043	1820.04	152.261	4.2917
NM_000148.4	4214	3991.04	0	0
NM_000149.4	2565	2342.04	0	0
NM_000150.4	3326	3103.04	0	0
NM_000151.4	4164	3941.04	0	0
NM_000152.5	3751	3528.04	92.18	1.34037
NM_000153.4	3794	3571.04	1008.61	14.4893
NM_000154.2	1397	1174.04	537	23.4645
NM_000155.4	1756	1533.04	256.777	8.59259
NM_000156.6	1110	887.039	114.865	6.64305
NM_000157.4	2291	2068.04	1606.51	39.8515
NM_000158.4	2941	2718.04	8913.05	168.225
NM_000159.4	1852	1629.04	400.39	12.6088
NM_000160.5	2030	1807.04	0	0
NM_000161.3	2916	2693.04	111.472	2.12346
NM_000162.5	2745	2522.04	0	0
NM_000163.5	4899	4676.04	0	0
NM_000164.4	3310	3087.04	0	0
NM_000165.5	3083	2860.04	19129	343.116
NM_000166.6	1937	1714.04	0	0
NM_000167.6	4410	4187.04	83.4186	1.02206
NM_000168.6	8405	8182.04	194.458	1.21923
NM_000169.3	1318	1095.04	824.03	38.6041
NM_000170.3	3843	3620.04	35	0.495993
NM_000171.4	1812	1589.04	0	0
NM_000172.4	2465	2242.04	1.05823	0.0242134
NM_000173.7	2514	2291.04	18	0.403051
NM_000174.5	877	654.039	0	0
NM_000175.5	4125	3902.04	12812.7	168.449
NM_000176.3	6778	6555.04	598.556	4.68435
NM_000177.5	2619	2396.04	537.564	11.5095
NM_000178.4	1909	1686.04	1349.66	41.0655
NM_000179.3	4265	4042.04	2307.72	29.2889
NM_000180.4	3680	3457.04	7.30853	0.108454
NM_000181.4	2199	1976.04	255.896	6.64338
NM_000182.5	2943	2720.04	6917.99	130.474
NM_000183.3	1997	1774.04	3223.07	93.2024
NM_000184.3	586	366.111	0	0
NM_000185.4	2203	1980.04	69	1.7877
